process,n,bt,tat,wt
1,1000000,62500.000000,62500.000000,0.000000
2,800,140625.000000,203125.000000,62500.000000
3,800,0.000000,203125.000000,203125.000000
1,1000,0.000000,0.000000,0.000000
2,800,187500.000000,187500.000000,0.000000
3,800,0.000000,187500.000000,187500.000000
1,1000,0.000000,0.000000,0.000000
2,800,156250.000000,156250.000000,0.000000
3,800,0.000000,156250.000000,156250.000000
1,25,0.000000,0.000000,0.000000
2,25,15625.000000,15625.000000,0.000000
3,25,15625.000000,31250.000000,15625.000000
1,25,0.000000,0.000000,0.000000
2,25,0.000000,0.000000,0.000000
3,25,15625.000000,15625.000000,0.000000
1,25,0.000000,0.000000,0.000000
2,25,31250.000000,31250.000000,0.000000
3,25,0.000000,31250.000000,31250.000000
1,2500,0.000000,0.000000,0.000000
2,750,187500.000000,187500.000000,0.000000
3,50000,93750.000000,281250.000000,187500.000000
1,2500,0.000000,0.000000,0.000000
2,750,203125.000000,203125.000000,0.000000
3,50000,78125.000000,281250.000000,203125.000000
1,2500,0.000000,0.000000,0.000000
2,750,171875.000000,171875.000000,0.000000
3,50000,93750.000000,265625.000000,171875.000000
1,2500,0.000000,0.000000,0.000000
2,750,156250.000000,156250.000000,0.000000
3,5000,31250.000000,187500.000000,156250.000000
1,2500,0.000000,0.000000,0.000000
2,750,171875.000000,171875.000000,0.000000
3,50,15625.000000,187500.000000,171875.000000
1,2500,0.000000,0.000000,0.000000
2,750,171875.000000,171875.000000,0.000000
3,100,15625.000000,187500.000000,171875.000000
1,2500,0.000000,0.000000,0.000000
2,750,156250.000000,156250.000000,0.000000
3,500,15625.000000,171875.000000,156250.000000
1,2500,0.000000,0.000000,0.000000
2,750,156250.000000,156250.000000,0.000000
3,1000,15625.000000,171875.000000,156250.000000
1,2500,0.000000,0.000000,0.000000
2,750,171875.000000,171875.000000,0.000000
3,1500,15625.000000,187500.000000,171875.000000
1,2500,0.000000,0.000000,0.000000
2,750,156250.000000,156250.000000,0.000000
3,3000,15625.000000,171875.000000,156250.000000
1,2500,0.000000,0.000000,0.000000
2,750,171875.000000,171875.000000,0.000000
3,4000,15625.000000,187500.000000,171875.000000
1,2500,0.000000,0.000000,0.000000
2,750,171875.000000,171875.000000,0.000000
3,5000,15625.000000,187500.000000,171875.000000
1,2500,0.000000,0.000000,0.000000
2,750,156250.000000,156250.000000,0.000000
3,4500,15625.000000,171875.000000,156250.000000
1,2500,0.000000,0.000000,0.000000
2,750,140625.000000,140625.000000,0.000000
3,4300,15625.000000,156250.000000,140625.000000
1,2500,0.000000,0.000000,0.000000
2,750,171875.000000,171875.000000,0.000000
3,4250,15625.000000,187500.000000,171875.000000
1,2500,0.000000,0.000000,0.000000
2,750,171875.000000,171875.000000,0.000000
3,4100,15625.000000,187500.000000,171875.000000
1,2500,0.000000,0.000000,0.000000
2,750,171875.000000,171875.000000,0.000000
3,4150,15625.000000,187500.000000,171875.000000
1,2500,15625.000000,15625.000000,0.000000
2,750,156250.000000,171875.000000,15625.000000
3,4200,15625.000000,187500.000000,171875.000000
1,2500,0.000000,0.000000,0.000000
2,750,140625.000000,140625.000000,0.000000
3,4250,31250.000000,171875.000000,140625.000000
1,2500,0.000000,0.000000,0.000000
2,750,156250.000000,156250.000000,0.000000
3,4230,15625.000000,171875.000000,156250.000000
1,2500,0.000000,0.000000,0.000000
2,750,171875.000000,171875.000000,0.000000
3,4240,15625.000000,187500.000000,171875.000000
1,2500,0.000000,0.000000,0.000000
2,750,125000.000000,125000.000000,0.000000
3,4249,15625.000000,140625.000000,125000.000000
1,2500,0.000000,0.000000,0.000000
2,750,125000.000000,125000.000000,0.000000
3,4245,15625.000000,140625.000000,125000.000000
1,2500,0.000000,0.000000,0.000000
2,750,171875.000000,171875.000000,0.000000
3,4246,31250.000000,203125.000000,171875.000000
1,2500,0.000000,0.000000,0.000000
2,750,218750.000000,218750.000000,0.000000
3,4247,15625.000000,234375.000000,218750.000000
1,2500,0.000000,0.000000,0.000000
2,750,156250.000000,156250.000000,0.000000
3,4248,0.000000,156250.000000,156250.000000
1,2500,15625.000000,15625.000000,0.000000
2,750,140625.000000,156250.000000,15625.000000
3,4247,15625.000000,171875.000000,156250.000000
